abdicadores	abdicador	Gender=Masc|Number=Plur
abdicante	abdicante	Number=Sing
abdicantes	abdicante	Number=Plur
abdicatária	abdicatário	Gender=Fem|Number=Sing
abdicatárias	abdicatário	Gender=Fem|Number=Plur
abdicatário	abdicatário	Gender=Masc|Number=Sing
abdicatários	abdicatário	Gender=Masc|Number=Plur
abdicatória	abdicatório	Gender=Fem|Number=Sing
abdicatórias	abdicatório	Gender=Fem|Number=Plur
abdicatório	abdicatório	Gender=Masc|Number=Sing
abdicatórios	abdicatório	Gender=Masc|Number=Plur
abdicação	abdicação	Gender=Fem|Number=Sing
abdicações	abdicação	Gender=Fem|Number=Plur
abdome	abdome	Gender=Masc|Number=Sing
abdomens	abdômen	Gender=Masc|Number=Plur
abdomes	abdome	Gender=Masc|Number=Plur
abdominais	abdominal	Number=Plur
abdominal	abdominal	Number=Sing
abdominalgia	abdominalgia	Gender=Fem|Number=Sing
abdominalgias	abdominalgia	Gender=Fem|Number=Plur
abdominocentese	abdominocentese	Gender=Fem|Number=Sing
abdominocenteses	abdominocentese	Gender=Fem|Number=Plur
abdominociese	abdominociese	Gender=Fem|Number=Sing
abdominocieses	abdominociese	Gender=Fem|Number=Plur
abdominopatia	abdominopatia	Gender=Fem|Number=Sing
abdominopatias	abdominopatia	Gender=Fem|Number=Plur
abdominoplastia	abdominoplastia	Gender=Fem|Number=Sing
abdominoplastias	abdominoplastia	Gender=Fem|Number=Plur
abdominoscopia	abdominoscopia	Gender=Fem|Number=Sing
abdominoscopias	abdominoscopia	Gender=Fem|Number=Plur
abdutor	abdutor	Gender=Masc|Number=Sing
abdutora	abdutor	Gender=Fem|Number=Sing
abdutoras	abdutor	Gender=Fem|Number=Plur
abdutores	abdutor	Gender=Masc|Number=Plur
abdução	abdução	Gender=Fem|Number=Sing
abduções	abdução	Gender=Fem|Number=Plur
abdômen	abdômen	Gender=Masc|Number=Sing
abdômenes	abdômen	Gender=Masc|Number=Plur
abecedária	abecedário	Gender=Fem|Number=Sing
abecedárias	abecedário	Gender=Fem|Number=Plur
abecedário	abecedário	Gender=Masc|Number=Sing
abecedários	abecedário	Gender=Masc|Number=Plur
abeiramento	abeiramento	Gender=Masc|Number=Sing
abeiramentos	abeiramento	Gender=Masc|Number=Plur
abelha	abelha	Gender=Fem|Number=Sing
abelharuco	abelharuco	Gender=Masc|Number=Sing
abelharucos	abelharuco	Gender=Masc|Number=Plur
abelhas	abelha	Gender=Fem|Number=Plur
abelheira	abelheiro	Gender=Fem|Number=Sing
abelheiras	abelheiro	Gender=Fem|Number=Plur
